from,to,w
E11,E12,0.15
E12,E11,0.15
E11,I11,0.15
I11,E11,0.15
E12,I11,0.15
I11,E12,0.15
E21,E22,0.15
E22,E21,0.15
E21,I21,0.15
I21,E21,0.15
E22,I21,0.15
I21,E22,0.15
E31,E32,0.15
E32,E31,0.15
E31,I31,0.15
I31,E31,0.15
E32,I31,0.15
I31,E32,0.15
E41,E42,0.15
E42,E41,0.15
E41,I41,0.15
I41,E41,0.15
E42,I41,0.15
I41,E42,0.15
E51,I51,0.15
I51,E51,0.15
E11,E22,0.1
E11,E32,0.1
E11,E42,0.1
E21,E12,0.1
E21,E32,0.1
E21,E42,0.1
E31,E12,0.1
E31,E22,0.1
E31,E42,0.1
E41,E12,0.1
E41,E22,0.1
E41,E32,0.1
E11,E51,0.03
E21,E51,0.03
E31,E51,0.03
E41,E51,0.03
E11,I51,0.03
E21,I51,0.03
E31,I51,0.03
E41,I51,0.03
E51,E12,0.02
E51,E22,0.02
E51,E32,0.02
E51,E42,0.02
I51,E12,0.02
I51,E22,0.02
I51,E32,0.02
I51,E42,0.02
E51,I12,0.02
E51,I22,0.02
E51,I32,0.01
E51,I42,0.02
I51,I12,0.02
I51,I22,0.02
I51,I32,0.02
I51,I42,0.02
