ID,CwInput,Vrest,Tau,Vth,MaxFreq,La,type,H,Name,RegionID_VSDI,RegionID_CaI,RegionID_BOLD,obs_VSDI,obs_CaI,obs_BOLD
E11,1,-65,128,-40,30,0.4,E,27.18,E_n1,1,1,1,1,1,0
E12,0,-65,128,-40,30,0.4,E,27.18,E_n2,1,2,1,1,2,0
I11,1,-65,128,-40,30,0.2,I,27.18,I_n1,1,3,1,1,3,0
E21,1,-65,128,-40,30,0.4,E,27.18,E_n1,2,4,1,2,0,0
E22,0,-65,128,-40,30,0.4,E,27.18,E_n2,2,5,1,2,0,0
I21,1,-65,128,-40,30,0.2,I,27.18,I_n1,2,6,1,2,0,0
E31,1,-65,128,-40,30,0.4,E,27.18,E_n1,3,7,2,0,0,0
E32,0,-65,128,-40,30,0.4,E,27.18,E_n2,3,8,2,0,0,0
I31,1,-65,128,-40,30,0.2,I,27.18,I_n1,3,9,2,0,0,0
E41,1,-65,128,-40,30,0.4,E,27.18,E_n1,4,10,2,0,0,0
E42,0,-65,128,-40,30,0.4,E,27.18,E_n2,4,11,2,0,0,0
I41,1,-65,128,-40,30,0.2,I,27.18,I_n1,4,12,2,0,0,0
E51,0,-65,128,-40,30,0.8,E,27.18,E_n2,5,13,3,0,0,0
I51,0,-65,128,-40,30,0.2,I,27.18,I_n1,5,14,3,0,0,0
